ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm,mid_price,high_yield_pct
O:XLF210108C00025000,2021-01-04,2021-01-08,XLF,C,25.0,1,1.0,1.0,-15.54,YES,1.0,3.38,1.0,3.38,1.0,1.0,1,1609736400000000000,4,Weekly,29.59,29.08,29.6,28.83,29.6,30.92,31.1,31.1,0.02,,,1.0,3.38
O:XLF210108C00026500,2021-01-04,2021-01-08,XLF,C,26.5,20,0.63,0.62,-10.47,YES,0.63,2.12,0.62,2.11,0.63,0.62,5,1609736400000000000,4,Weekly,29.59,29.08,29.6,28.83,29.6,30.92,31.1,31.1,0.02,,,0.63,2.14
O:XLF210108C00027000,2021-01-04,2021-01-08,XLF,C,27.0,21,0.54,0.51,-8.78,YES,0.51,1.71,0.48,1.6,0.54,0.48,10,1609736400000000000,4,Weekly,29.59,29.08,29.6,28.83,29.6,30.92,31.1,31.1,0.02,,,0.51,1.82
O:XLF210108C00027500,2021-01-04,2021-01-08,XLF,C,27.5,13,0.51,0.38,-7.09,YES,0.45,1.51,0.38,1.29,0.51,0.38,5,1609736400000000000,4,Weekly,29.59,29.08,29.6,28.83,29.6,30.92,31.1,31.1,0.02,,,0.45,1.72
O:XLF210108C00028000,2021-01-04,2021-01-08,XLF,C,28.0,146,0.38,0.31,-5.41,YES,0.33,1.11,0.26,0.9,0.39,0.26,23,1609736400000000000,4,Weekly,29.59,29.08,29.6,28.83,29.6,30.92,31.1,31.1,0.02,,,0.33,1.32
O:XLF210108C00028500,2021-01-04,2021-01-08,XLF,C,28.5,474,0.29,0.19,-3.72,YES,0.22,0.75,0.16,0.52,0.29,0.16,115,1609736400000000000,4,Weekly,29.59,29.08,29.6,28.83,29.6,30.92,31.1,31.1,0.02,,,0.22,0.98
O:XLF210108C00029000,2021-01-04,2021-01-08,XLF,C,29.0,5946,0.19,0.12,-2.03,YES,0.14,0.46,0.08,0.28,0.19,0.08,176,1609736400000000000,4,Weekly,29.59,29.08,29.6,28.83,29.6,30.92,31.1,31.1,0.02,,,0.14,0.65
O:XLF210108C00029500,2021-01-04,2021-01-08,XLF,C,29.5,4177,0.11,0.06,-0.34,YES,0.08,0.25,0.04,0.13,0.11,0.04,266,1609736400000000000,4,Weekly,29.59,29.08,29.6,28.83,29.6,30.92,31.1,31.1,0.02,,,0.08,0.38
O:XLF210108C00030000,2021-01-04,2021-01-08,XLF,C,30.0,863,0.06,0.03,1.35,NO,0.03,0.11,0.01,0.04,0.06,0.01,161,1609736400000000000,4,Weekly,29.59,29.08,29.6,28.83,29.6,30.92,31.1,31.1,0.02,0.13,0.16,0.03,0.19
O:XLF210108C00030500,2021-01-04,2021-01-08,XLF,C,30.5,4116,0.02,0.01,3.04,NO,0.01,0.04,0.0,0.02,0.02,0.0,90,1609736400000000000,4,Weekly,29.59,29.08,29.6,28.83,29.6,30.92,31.1,31.1,0.02,0.18,0.05,0.01,0.07
